Pick #,Jimmy Johnson,Rich Hill,Fitzgerald/Spielberger,Kevin Meers,PFF,Michael Lopez,Chase Stuart,Ben Baldwin (Surplus Value),Ben Baldwin (On-Field Value)
43,470,138,1094,157.5,0.422,67.2,10.6,76,57
44,460,135,1082,155.9,0.415,65.5,10.5,75,56
45,450,131,1071,154.3,0.409,64,10.4,74,55
46,440,128,1060,152.8,0.402,62.5,10.2,74,55
47,430,124,1049,151.3,0.396,61,10.1,73,54
48,420,121,1038,149.8,0.39,59.7,9.9,72,53
49,410,118,1028,148.4,0.384,58.3,9.8,71,52
50,400,115,1018,147,0.378,57,9.7,71,52
51,390,112,1007,145.6,0.373,55.7,9.6,70,51
52,380,109,998,144.2,0.368,54.5,9.4,69,50
53,370,106,988,142.8,0.363,53.3,9.3,68,50
54,360,104,979,141.5,0.357,52.2,9.2,67,49
55,350,101,969,140.2,0.352,51.1,9.1,67,48
56,340,98,960,138.9,0.347,50,9,66,47
57,330,96,951,137.6,0.342,49,8.9,65,47
58,320,93,942,136.3,0.337,48,8.7,64,46
59,310,91,934,135.1,0.332,47,8.6,63,45
60,300,88,925,133.9,0.327,46.1,8.5,62,45
61,292,86,917,132.7,0.322,45.3,8.4,61,44
62,284,84,909,131.4,0.316,44.4,8.3,60,44
63,276,82,900,130.3,0.311,43.6,8.2,59,43
64,270,80,892,129.1,0.306,42.8,8.1,58,42
65,265,78,885,128,0.301,42,8,58,42
66,260,76,877,126.9,0.296,41.2,7.9,57,41
67,255,75,869,125.8,0.292,40.5,7.8,56,41
68,250,73,862,124.7,0.287,39.8,7.7,55,40
69,245,71,854,123.6,0.283,39.1,7.6,54,39
70,240,70,847,122.5,0.279,38.5,7.5,53,39
71,235,68,840,121.5,0.275,37.8,7.5,52,38
72,230,67,833,120.4,0.271,37.2,7.4,51,38
73,225,65,826,119.4,0.267,36.7,7.3,51,37
74,220,64,819,118.4,0.264,36.1,7.2,50,37
75,215,63,812,117.4,0.26,35.5,7.1,49,37
76,210,61,805,116.4,0.257,35,7,49,36
77,205,60,799,115.4,0.254,34.5,6.9,48,36
78,200,59,792,114.4,0.251,34.1,6.9,47,35
79,195,57,786,113.5,0.248,33.6,6.8,46,35
80,190,56,779,112.5,0.246,33.2,6.7,46,35
81,185,55,773,111.6,0.243,32.8,6.6,45,34
82,180,54,767,110.7,0.24,32.3,6.5,45,34
83,175,52,761,109.7,0.237,31.9,6.5,44,33
84,170,51,755,108.8,0.234,31.5,6.4,43,33
85,165,50,749,107.9,0.231,31.1,6.3,43,33
86,160,49,743,107.1,0.229,30.8,6.2,42,32
87,155,48,737,106.2,0.226,30.4,6.2,42,32
88,150,47,731,105.3,0.223,30,6.1,41,32
89,145,46,725,104.4,0.221,29.7,6,41,31
90,140,45,720,103.6,0.219,29.4,5.9,40,31
91,136,44,714,102.7,0.217,29,5.9,39,31
92,132,43,709,101.9,0.214,28.8,5.8,39,30
93,128,42,703,101.1,0.212,28.4,5.7,38,30
94,124,41,698,100.3,0.21,28.1,5.7,38,30
